id,question,ex_or_im,story_section,reference_answer1,reference_answer2,generated_answer,rouge1_a1,rouge2_a1,rougeL_a1,rougeLsum_a1,rouge1_a2,rouge2_a2,rougeL_a2,rougeLsum_a2,bleu_a1,precisions_a1,brevity_penalty_a1,length_ratio_a1,translation_length_a1,reference_length_a1,bleu_a2,precisions_a2,brevity_penalty_a2,length_ratio_a2,translation_length_a2,reference_length_a2,bertscore_f1_a1,bertscore_f1_a2,bleurt_score_a1,bleurt_score_a2
0,what did ian want to attend ?,explicit,"' stay with me , i pray , for i love company and am lonely , ' observed the weaver at last , and he pointed to a bed in a corner , where the fisher 's son threw himself , and slept till dawn . ' there is to be a horse - race in the town to - day , ' remarked the weaver , ' and the winner is to have the king 's daughter to wife . ' the young man trembled with excitement at the news , and his voice shook as he answered : ' that will be a prize indeed , i should like to see the race . ' ' oh , that",a horse - race in the town .,a horse - race .,The race,0.5,0.0,0.25,0.25,0.4,0.0,0.4,0.4,0.037829991229878616,"[0.6666666666666666, 0.5, 1.0, 1.0]",0.049787068367863944,0.25,2,8,0.16954225822593183,"[0.6666666666666666, 0.5, 1.0, 1.0]",0.22313016014842982,0.4,2,5,0.8700155019760132,0.8949933648109436,-0.89989096,-0.9029608
1,what did the widowed mistress want to give to the old woman instead of her son ?,explicit,""" oh , sweet madam mistress , "" she cried , "" spare me my bairn , and take , and thou wilt , the pig instead . "" "" we have no need of bacon where i come from , "" answered the fairy coldly ; "" so give me the laddie and let me begone -- i have no time to waste in this wise . "" "" oh , dear lady mine , "" pleaded the goodwife , "" if thou wilt not have the pig , wilt thou not spare my poor bairn and take me myself ? "" the fairy stepped back a little , as if in astonishment . "" art thou mad , woman , """,the pig .,the pig .,bacon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11380295453101374,"[0.5, 1.0, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,1,3,0.11380295453101374,"[0.5, 1.0, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,1,3,0.8371906280517578,0.8371906280517578,-1.1056045,-1.1056045
2,how did andrew survive ?,explicit,"but the latter did not lose heart . he gathered drift - wood along the strand , shot sea - birds , and looked for mussels and roots . he built himself a raft of drift - timber , and fished with a pole that had also been left behind . one day , while he was at work , he happened to notice a depression or hollow in the sand , as though made by the keel of a large northland schooner , and he could plainly trace the braidings of the hawsers from the strand up to the top of the island . then he thoug",shot sea - birds .,"shot sea - birds , and looked for mussels and roots .",andrew survived,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14256747717620566,"[0.3333333333333333, 0.5, 1.0, 1.0]",0.22313016014842982,0.4,2,5,0.004305164771842524,"[0.3333333333333333, 0.5, 1.0, 1.0]",0.006737946999085467,0.16666666666666666,2,12,0.7988225817680359,0.8032814860343933,-1.408149,-1.6678156
3,why did the boy keep the four-shilling piece ?,explicit,""" yes , and i 'm sure it is because you have the jacket , poor fellow ! "" said the boy . but when he looked more closely , there was a chest full of bright silver coins under the stone . "" that must be stolen money , "" thought the boy , "" for no one lays money honestly earned under stones in the wood . "" and he took the chest , and carried it down to the pond nearby , and threw in the whole pile of money . but a four - shilling piece was left swimming on the top of the water . "" well , this one ",it was honest .,because it was honest .,None of the above choices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295748846661433,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",1.0,1.25,5,4,0.2295748846661433,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",1.0,1.0,5,5,0.8456665277481079,0.8434285521507263,-0.78157616,-0.9335044
4,"who was young, handsome, and gifted ?",explicit,"old dragonbeard must have been a master swordsman standing midway between those of the first and of the second order . molo , however , of whom this story tells , was a sword hero . at that time there lived a young man named tsui , whose father was a high official and the friend of the prince . and the father once sent his son to visit his princely friend , who was ill . the son was young , handsome and gifted . he went to carry out his father 's instructions . when he entered the prince 's pala",tsui .,tsui .,the son,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6389431042462724,"[0.3333333333333333, 0.5, 1.0, 1.0]",1.0,1.0,2,2,0.6389431042462724,"[0.3333333333333333, 0.5, 1.0, 1.0]",1.0,1.0,2,2,0.8084863424301147,0.8084863424301147,-1.2059941,-1.2059941
5,where was the young king trying to go ?,explicit,"then the young king grew very sad , and went about day in , day out , with no other thought than getting back to his queen . "" i must try and see whether i can not find out where whiteland is , "" thought he , and wandered forth into the wide world . after he had gone a while he came to a hill ; and there he met one who was the lord of all the beasts of the forest -- for they came when he blew his horn -- and him the king asked where whiteland was . "" that i do not know , "" said he , "" but i will",whiteland .,back to his queen .,Whiteland,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.30934850332660563,"[0.5, 1.0, 1.0, 1.0]",0.36787944117144233,0.5,1,2,0.015401555084618098,"[0.5, 1.0, 1.0, 1.0]",0.01831563888873418,0.2,1,5,0.9511016011238098,0.8103694915771484,0.6271057,-1.2264079
6,how did the lord of all the beasts try to help the young king ?,explicit,"then the young king grew very sad , and went about day in , day out , with no other thought than getting back to his queen . "" i must try and see whether i can not find out where whiteland is , "" thought he , and wandered forth into the wide world . after he had gone a while he came to a hill ; and there he met one who was the lord of all the beasts of the forest -- for they came when he blew his horn -- and him the king asked where whiteland was . "" that i do not know , "" said he , "" but i will",asked his beasts whether any of them knew where whiteland might be .,he asked whether any of the beasts knew where whiteland might be .,The lord of all the beasts tried to help the young king,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.25,0.09090909090909091,0.25,0.25,0.10579369505074822,"[0.23076923076923078, 0.08333333333333333, 0.09090909090909091, 0.1]",0.9200444146293233,0.9230769230769231,12,13,0.13519230385081712,"[0.3076923076923077, 0.16666666666666666, 0.09090909090909091, 0.1]",0.9200444146293233,0.9230769230769231,12,13,0.8425151705741882,0.8627195358276367,-0.9929031,-0.95643765
7,why didn't matte want to get the herring-net ?,explicit,"both rose . the summer night was as dark as if it had been october , the weather - cock creaked , and the storm was raging in every direction . as they went out the sea lay around them as white as now , and the spray was dashing right over the fisher - hut . in all his life matte had never remembered such a night . to launch the boat and put to sea to rescue the net was a thing not to be thought of . the fisherman and his wife stood aghast on the doorstep , holding on fast by the doorpost , whil",the storm was strong .,the storm was too strong .,matte wanted to be a fisherman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18575057999133598,"[0.14285714285714285, 0.16666666666666666, 0.2, 0.25]",1.0,1.2,6,5,0.18575057999133598,"[0.14285714285714285, 0.16666666666666666, 0.2, 0.25]",1.0,1.0,6,6,0.8622453808784485,0.8624749183654785,-1.5109748,-1.6237814
8,how long did it take ian to meet the woman's sister ?,explicit,"' all hail , fisher 's son ! ' said she . ' i know what you are seeking ; enter in and rest and eat , and to - morrow i will give you what help i can , and send you on your way . ' gladly did ian the fisher 's son accept her offer , and all that day he rested , and the woman gave him ointment to put on his feet , which healed his sores . at daybreak he got up , ready to be gone , and the woman bade him farewell , saying : ' i have a sister who dwells on the road which you must travel . it is a l",a year and a day .,a year and a day .,a year,0.5714285714285715,0.4,0.5714285714285715,0.5714285714285715,0.5714285714285715,0.4,0.5714285714285715,0.5714285714285715,0.1353352832366127,"[1.0, 1.0, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,2,6,0.1353352832366127,"[1.0, 1.0, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,2,6,0.8792152404785156,0.8792152404785156,-0.45503348,-0.45503348
9,what did the old woman do after the widowed mistress made a promise to her ?,explicit,""" madam , "" she said , with a sob in her voice , "" i bid you welcome to the house of kittlerumpit , although you find its mistress one of the most unfortunate women in the world . "" "" hout - tout , "" answered the old lady , in such a harsh voice that the young woman started , and grasped her baby tighter in her arms . "" ye have little need to say that . ye have lost your husband , i grant ye , but there were waur losses at shirra - muir . and now your pig is like to die -- i could , maybe , reme",walked straight into the pig - sty .,walked straight into the pig - sty .,The old woman did n't care,0.15384615384615383,0.0,0.15384615384615383,0.15384615384615383,0.15384615384615383,0.0,0.15384615384615383,0.15384615384615383,0.13309610652103346,"[0.14285714285714285, 0.16666666666666666, 0.2, 0.25]",0.7165313105737893,0.75,6,8,0.13309610652103346,"[0.14285714285714285, 0.16666666666666666, 0.2, 0.25]",0.7165313105737893,0.75,6,8,0.8223791718482971,0.8223791718482971,-1.4685588,-1.4685588
