id,question,ex_or_im,story_section,reference_answer1,reference_answer2,generated_answer,rouge1_a1,rouge2_a1,rougeL_a1,rougeLsum_a1,rouge1_a2,rouge2_a2,rougeL_a2,rougeLsum_a2,bleu_a1,precisions_a1,brevity_penalty_a1,length_ratio_a1,translation_length_a1,reference_length_a1,bleu_a2,precisions_a2,brevity_penalty_a2,length_ratio_a2,translation_length_a2,reference_length_a2,bleurt_score_a1,bleurt_score_a2
0,how did the man's right cheek feel after the wen was removed ?,explicit,"the old man was lost in bewilderment by all that had happened . he hardly knew for some time where he was . when he came to understand what had happened to him , he was delighted to find that the lump on his face , which had for so many years disfigured him , had really been taken away without any pain to himself . he put up his hand to feel if any scar remained , but found that his right cheek was as smooth as his left .",as smooth as his left .,as smooth as his left .,smooth,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.006737946999085467,"[1.0, 1.0, 1.0, 1.0]",0.006737946999085467,0.16666666666666666,1,6,0.006737946999085467,"[1.0, 1.0, 1.0, 1.0]",0.006737946999085467,0.16666666666666666,1,6,-1.523485,-1.523485
1,where did the poor woman live ?,explicit,"once upon a time there was a poor woman , who lived in a wretched hut far away from the village . she had but little to bite and less to burn , so she sent her little boy to the forest to gather wood . he skipped and leaped , and leaped and skipped , in order to keep warm , for it was a cold , gray autumn day , and whenever he had gathered a root or a branch to add to his bundle , he had to slap his arms against his shoulders , for the cold made his hands as red as the whortleberry bushes over w",in a wretched hut far away from the village .,lived in a wretched hut far away from the village .,The poor woman lived in a wretched hut far away from the village,0.8181818181818181,0.8,0.8181818181818181,0.8181818181818181,0.8695652173913044,0.8571428571428571,0.8695652173913044,0.8695652173913044,0.6767781116542884,"[0.7142857142857143, 0.6923076923076923, 0.6666666666666666, 0.6363636363636364]",1.0,1.3,13,10,0.7577395672414201,"[0.7857142857142857, 0.7692307692307693, 0.75, 0.7272727272727273]",1.0,1.1818181818181819,13,11,-0.11416598,-0.0038346797
2,how did the man's daughter feel about seeing the three little doves ?,explicit,"the walk took some time , for it was very dark , and her shoes often stuck in the mud , but she was brave as well as beautiful and never thought of turning back merely because the path was both difficult and unpleasant . at last , with her dress torn by brambles that she could not see , and her fact scratched by the twigs on the trees , she reached the spot where she and her father had been cutting in the morning , and found the axe in the place he had left it . to her surprise , three little do",surprised .,surprised .,None of the above choices .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22089591134157885,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",1.0,3.0,6,2,0.22089591134157885,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",1.0,3.0,6,2,-1.2381644,-1.2381644
3,what happened because all the fishes-in-waiting were chosen from amongst the finest fish ?,explicit,"there was much gladness between the sea king and the happy hunter , and they sat and talked for a long time . at last the sea king clapped his hands , and then a huge retinue of fishes appeared , all robed in ceremonial garments , and bearing in their fins various trays on which all kinds of sea delicacies were served . a great feast was now spread before the king and his royal guest . all the fishes - in - waiting were chosen from amongst the finest fish in the sea , so you can imagine what a w",wonderful array of sea creatures waited upon the happy hunter .,a wonderful array of sea creatures it was that waited upon the happy hunter .,None of the above choices .,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666,0.21052631578947364,0.0,0.21052631578947364,0.21052631578947364,0.1141650334026257,"[0.5714285714285714, 0.16666666666666666, 0.2, 0.25]",0.43459820850707814,0.5454545454545454,6,11,0.05861428254383573,"[0.5714285714285714, 0.16666666666666666, 0.2, 0.25]",0.22313016014842982,0.4,6,15,-1.5179287,-1.5299485
4,what will happen when the king dies ?,explicit,"now , the king had a daughter , who was just as beautiful as her dead mother , and had just such golden hair . one day when she had grown up , her father looked at her , and saw that she was exactly like her mother , so he said to his councillors , ' i will marry my daughter to one of you , and she shall be queen , for she is exactly like her dead mother , and when i die her husband shall be king . ' but when the princess heard of her father 's decision , she was not at all pleased , and said to",his daughter 's husband shall be king .,her husband shall be kind .,The king will marry his daughter .,0.4615384615384615,0.1818181818181818,0.30769230769230765,0.30769230769230765,0.0,0.0,0.0,0.0,0.240785655451027,"[0.625, 0.2857142857142857, 0.16666666666666666, 0.2]",0.8668778997501817,0.875,7,8,0.18575057999133598,"[0.25, 0.14285714285714285, 0.16666666666666666, 0.2]",1.0,1.1666666666666667,7,6,0.08444257,-0.7381909
5,what did harold's mother and aunt do after he took the vest ?,explicit,""" for whom hast thou purchased that ? "" he asked , hoping to hear that it was intended for him . "" tis a christmas gift for thy brother paul , "" answered his mother , and she would have gone on to tell him how deadly a thing it was , had he given her time to speak . but her words fanned his fury into madness , for it seemed to him that this hated brother of his was claiming everything . "" everything is for paul ! i am sick of his very name , "" he cried . "" by my troth , he shall not have this ! ","threw themselves at his feet , begging him to lay it down , and warning him that there was not a thread in it which was not poisoned .",his mother and his aunt threw themselves at his feet .,They snatched the vest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005832626632924011,"[0.2, 0.25, 0.3333333333333333, 0.5]",0.0019304541362277093,0.13793103448275862,4,29,0.05250363174428412,"[0.2, 0.25, 0.3333333333333333, 0.5]",0.17377394345044514,0.36363636363636365,4,11,-1.5053073,-1.1789386
6,how did the man feel about the rain falling even more heavily ?,explicit,"but much to the old man 's disappointment , instead of clearing the rain fell more and more heavily , and finally a heavy thunderstorm broke over the mountain . the thunder roared so terrifically , and the heavens seemed to be so ablaze with lightning , that the old man could hardly believe himself to be alive . he thought that he must die of fright . at last , however , the sky cleared , and the whole country was aglow in the rays of the setting sun . the old man 's spirits revived when he look",disappointment .,disappointed .,He was disappointed,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.4518010018049224,"[0.25, 0.3333333333333333, 0.5, 1.0]",1.0,1.5,3,2,0.537284965911771,"[0.5, 0.3333333333333333, 0.5, 1.0]",1.0,1.5,3,2,-0.18398523,0.17556864
7,what happened after the girl pulled apart the fire on the hearth ?,explicit,"once upon a time there was a mill , in which it was impossible to grind flour , because such strange things kept happening there . but there was a poor woman who was in urgent need of a little meal one evening , and she asked whether they would not allow her to grind a little flour during the night . "" for heaven 's sake , "" said the mill - owner , "" that is quite impossible ! there are ghosts enough in the mill as it is . "" but the woman said that she must grind a little ; for she did not have ",the woman built it up again .,the woman built it up again .,None of the above choices .,0.1818181818181818,0.0,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.0,0.1818181818181818,0.1818181818181818,0.20693220168471366,"[0.42857142857142855, 0.16666666666666666, 0.2, 0.25]",0.846481724890614,0.8571428571428571,6,7,0.20693220168471366,"[0.42857142857142855, 0.16666666666666666, 0.2, 0.25]",0.846481724890614,0.8571428571428571,6,7,-1.3447609,-1.3447609
8,why was the queen to marry some one else ?,explicit,""" well , "" said the man , "" i will lend you a pair of snowshoes . when you stand in them you will come to my brother , who lives a hundred miles further on . he is the lord of all the fishes in the sea . ask him . but do not forget to turn the snowshoes around again . "" the king thanked him , stepped into the snowshoes , and when he came to the one who was lord of all the fishes in the sea , he turned them around , and they ran back like the others . there he once more asked about whiteland . th",the king had not come home again .,the king has not come home again .,None of the above choices .,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.17516432701748888,"[0.42857142857142855, 0.16666666666666666, 0.2, 0.25]",0.7165313105737893,0.75,6,8,0.17516432701748888,"[0.42857142857142855, 0.16666666666666666, 0.2, 0.25]",0.7165313105737893,0.75,6,8,-1.2988635,-1.2209204
9,how was the matter settled ?,explicit,"so the matter was settled by this talk , and the two brothers each started out to try the other 's occupation , little dreaming of all that would happen . it was very unwise of them , for the happy hunter knew nothing of fishing , and the skillful fisher , who was bad tempered , knew as much about hunting .",by their talk .,by this talk .,The two brothers started out to try the other 's occupation .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10390302174233558,"[0.15384615384615385, 0.08333333333333333, 0.09090909090909091, 0.1]",1.0,3.0,12,4,0.10390302174233558,"[0.15384615384615385, 0.08333333333333333, 0.09090909090909091, 0.1]",1.0,3.0,12,4,-1.3171363,-1.1816678
